,Acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Key,Liveness,Mode,Loudness,Tempo,Time_signature,Speechiness,Valence
2033,0.0002,0.371,212547.0,0.979,3.67e-06,1.0,0.516,1.0,-2.701,196.058,4.0,0.144,0.473
2034,0.0542,0.565,265427.0,0.654,1.8e-06,1.0,0.122,0.0,-6.826,111.968,4.0,0.0335,0.235
2035,0.219,0.739,304760.0,0.419,0.0,3.0,0.196,0.0,-8.241,60.493,4.0,0.0854,0.58
2036,0.0267,0.633,258432.0,0.927,0.0,2.0,0.0986,1.0,-4.468,146.097,4.0,0.0839,0.88
2037,0.945,0.621,240707.0,0.31,6.12e-05,9.0,0.117,0.0,-10.164,111.893,4.0,0.0283,0.125
2038,0.0497,0.693,197733.0,0.467,0.452,4.0,0.107,0.0,-9.558,105.958,4.0,0.043,0.402
2039,0.000219,0.495,154667.0,0.856,0.0,0.0,0.103,0.0,-5.123,158.024,4.0,0.0311,0.609
2040,0.0654,0.421,202533.0,0.873,0.0,10.0,0.123,1.0,-4.343,84.786,4.0,0.0564,0.629
2041,0.0638,0.565,173889.0,0.832,0.0288,8.0,0.386,0.0,-5.751,143.303,4.0,0.108,0.847
2042,0.607,0.598,279000.0,0.56,0.0432,0.0,0.196,1.0,-11.679,115.01,4.0,0.0375,0.221
2043,0.346,0.778,242733.0,0.547,0.000302,2.0,0.132,1.0,-7.273,95.002,4.0,0.0489,0.441
2044,0.0185,0.285,413347.0,0.613,0.1,5.0,0.114,1.0,-6.412,126.628,4.0,0.0421,0.0772
2045,0.0118,0.4,592920.0,0.65,7.62e-05,5.0,0.791,0.0,-6.104,107.989,4.0,0.0466,0.15
2046,0.0398,0.509,271427.0,0.781,0.0,8.0,0.0749,1.0,-3.48,128.0,4.0,0.072,0.176
2047,0.0152,0.587,310720.0,0.698,0.0,1.0,0.442,1.0,-8.948,133.954,4.0,0.0943,0.0985
2048,0.00107,0.765,195973.0,0.837,1.06e-05,1.0,0.0801,0.0,-3.113,122.028,4.0,0.032,0.721
2049,0.0136,0.739,231387.0,0.756,0.0,4.0,0.37,1.0,-4.828,110.028,4.0,0.0394,0.523
2050,0.039,0.673,229507.0,0.758,0.0,7.0,0.341,1.0,-3.632,135.956,4.0,0.158,0.542
2051,0.000634,0.742,293840.0,0.844,0.0,2.0,0.0659,1.0,-4.622,131.986,4.0,0.0479,0.416
2052,0.0444,0.718,219467.0,0.82,0.0,5.0,0.0846,0.0,-3.453,92.998,4.0,0.0323,0.613
2053,0.115,0.697,251267.0,0.529,0.896,2.0,0.0895,1.0,-8.838,155.974,4.0,0.0338,0.486
2054,0.52,0.682,275520.0,0.351,0.00059,1.0,0.11,0.0,-10.276,122.207,4.0,0.0318,0.144
2055,0.0178,0.672,277040.0,0.738,6.75e-05,0.0,0.0927,1.0,-7.045,107.938,4.0,0.0506,0.392
2056,0.0764,0.611,255320.0,0.677,0.0698,10.0,0.241,0.0,-6.745,166.04,4.0,0.034,0.233
2057,0.0543,0.625,193147.0,0.576,4.07e-05,11.0,0.187,0.0,-5.693,179.063,4.0,0.175,0.235
2058,0.0239,0.56,205933.0,0.872,6.98e-06,3.0,0.371,1.0,-4.269,126.05,4.0,0.14,0.682
2059,0.00435,0.82,280173.0,0.47,0.0,8.0,0.141,1.0,-7.181,132.003,4.0,0.0458,0.313
2060,0.0685,0.563,329320.0,0.496,5.8e-05,6.0,0.173,0.0,-9.381,139.993,4.0,0.406,0.426
2061,0.000739,0.546,212653.0,0.651,0.0,1.0,0.235,1.0,-7.601,77.878,4.0,0.3,0.646
2062,0.0277,0.303,192960.0,0.9,0.635,2.0,0.11,0.0,-2.352,149.508,4.0,0.0574,0.491
2063,0.135,0.482,224920.0,0.706,0.00106,9.0,0.105,1.0,-5.762,92.513,4.0,0.0607,0.144
2064,0.0991,0.608,232947.0,0.86,0.0,5.0,0.262,0.0,-5.324,127.075,4.0,0.0554,0.437
2065,0.000394,0.472,267867.0,0.925,0.000528,6.0,0.0826,0.0,-3.545,159.989,4.0,0.15,0.338
2066,0.749,0.67,109736.0,0.609,6.74e-05,7.0,0.227,1.0,-10.088,127.463,4.0,0.0333,0.573
2067,0.951,0.392,268813.0,0.233,0.000322,11.0,0.106,0.0,-11.012,176.569,3.0,0.0587,0.494
2068,0.112,0.612,212862.0,0.84,0.0,11.0,0.116,0.0,-3.145,129.042,4.0,0.0509,0.438
2069,0.00959,0.658,323747.0,0.591,5.27e-06,9.0,0.325,1.0,-5.197,114.078,4.0,0.0309,0.326
2070,0.0538,0.487,350120.0,0.729,4.07e-06,2.0,0.44,1.0,-6.815,91.048,4.0,0.271,0.217
2071,0.000802,0.687,227333.0,0.792,0.0,1.0,0.2,0.0,-4.023,133.962,4.0,0.0353,0.864
2072,0.811,0.236,281960.0,0.249,1e-06,6.0,0.087,0.0,-9.595,72.847,5.0,0.0348,0.181
2073,0.00125,0.564,225147.0,0.71,0.0,11.0,0.109,0.0,-4.92,91.972,4.0,0.0461,0.393
2074,0.0119,0.638,224293.0,0.722,0.00808,9.0,0.189,1.0,-6.177,103.017,4.0,0.0332,0.469
2075,0.838,0.424,169773.0,0.342,0.0,7.0,0.136,0.0,-9.469,76.235,4.0,0.0339,0.124
2076,0.0506,0.464,321438.0,0.945,0.756,2.0,0.112,1.0,-1.815,165.177,4.0,0.0401,0.453
2077,0.908,0.339,206640.0,0.214,7.47e-06,4.0,0.341,1.0,-11.714,94.775,3.0,0.0375,0.363
2078,0.00446,0.791,234653.0,0.754,0.0,0.0,0.163,1.0,-3.729,125.014,4.0,0.0569,0.425
2079,0.00454,0.622,219720.0,0.469,2.25e-06,3.0,0.0335,0.0,-6.798,77.019,4.0,0.0363,0.679
2080,0.632,0.564,87093.0,0.3,0.0022,2.0,0.101,1.0,-7.349,121.888,4.0,0.0887,0.0487
2081,0.0633,0.781,235613.0,0.526,0.0,6.0,0.0457,0.0,-6.986,94.993,4.0,0.293,0.665
2082,0.0538,0.487,350120.0,0.729,4.07e-06,2.0,0.44,1.0,-6.815,91.048,4.0,0.271,0.217
2083,0.000463,0.48,223547.0,0.977,2.82e-06,6.0,0.355,1.0,-1.993,129.999,4.0,0.117,0.331
2084,0.945,0.621,240707.0,0.31,6.12e-05,9.0,0.117,0.0,-10.164,111.893,4.0,0.0283,0.125
2085,0.0893,0.635,189840.0,0.926,4.53e-06,0.0,0.0928,1.0,-5.589,100.048,4.0,0.151,0.761
2086,0.000164,0.522,184760.0,0.914,0.847,7.0,0.24,1.0,-8.285,137.939,3.0,0.0379,0.0364
2087,0.0254,0.785,161200.0,0.478,0.0,2.0,0.0901,1.0,-8.735,134.002,4.0,0.0419,0.39
2088,0.0588,0.706,248133.0,0.89,0.00286,1.0,0.306,0.0,-4.444,128.011,4.0,0.0688,0.684
2089,0.0208,0.747,224653.0,0.937,0.0,0.0,0.29,1.0,-5.746,103.976,4.0,0.0453,0.739
2090,0.00974,0.478,276720.0,0.758,0.00717,1.0,0.312,1.0,-5.4,131.109,4.0,0.0331,0.452
2091,0.00949,0.722,373627.0,0.687,0.00413,0.0,0.0462,1.0,-5.189,128.013,4.0,0.0556,0.619
2092,0.0884,0.66,221075.0,0.689,0.0,4.0,0.0922,0.0,-2.671,127.98,4.0,0.0337,0.427
2093,0.272,0.509,286293.0,0.331,0.136,4.0,0.114,1.0,-14.083,96.848,4.0,0.0267,0.0957
2094,0.525,0.657,196360.0,0.405,0.072,0.0,0.146,0.0,-8.637,133.895,4.0,0.0584,0.0673
2095,0.0703,0.716,386907.0,0.531,0.0,7.0,0.224,1.0,-7.355,71.994,4.0,0.122,0.344
2096,0.0162,0.656,237987.0,0.884,0.0,2.0,0.145,1.0,-4.748,105.009,4.0,0.0372,0.86
2097,0.00957,0.628,193147.0,0.676,2.65e-05,7.0,0.121,1.0,-5.911,85.984,4.0,0.0916,0.75
2098,0.0697,0.554,213827.0,0.794,0.0,11.0,0.63,1.0,-5.417,176.01,4.0,0.035,0.79
2099,0.000183,0.356,157973.0,0.611,0.867,10.0,0.127,1.0,-5.71,170.073,4.0,0.0289,0.272
2100,0.694,0.483,240166.0,0.303,0.0,4.0,0.115,1.0,-10.058,133.406,3.0,0.0429,0.139
2101,0.274,0.555,284147.0,0.584,0.0228,4.0,0.254,1.0,-8.667,120.965,4.0,0.0301,0.41
2102,0.096,0.905,211293.0,0.782,0.0,10.0,0.0623,0.0,-3.604,96.055,4.0,0.164,0.798
2103,0.000688,0.602,227987.0,0.843,5.27e-05,0.0,0.0682,1.0,-4.831,128.003,4.0,0.0593,0.526
